symbol,company_name,avg_turnover_cr,sector
RAJSREESUG,Rajshree Sugars & Chemicals Limited,0.41,
SARVESHWAR,Sarveshwar Foods Limited,0.41,
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,0.4,
SUKHJITS,Sukhjit Starch & Chemicals Limited,0.4,
MCL,M TEK COPPER LIMITED,0.39,
TOLINS,Tolins Tyres Limited,0.39,
TVTODAY,TV Today Network Limited,0.39,
VLSFINANCE,VLS Finance Limited,0.39,
ZFSTEERING,ZF Steering Gear (India) Limited,0.38,
SHAHALLOYS,Shah Alloys Limited,0.37,
TREL,Transindia Real Estate Limited,0.37,
ORIENTCER,ORIENT CERATECH LIMITED,0.35,
VHL,Vardhman Holdings Limited,0.35,
NATHBIOGEN,Nath Bio-Genes (India) Limited,0.33,
PLAZACABLE,Plaza Wires Limited,0.33,
TRACXN,Tracxn Technologies Limited,0.33,
SGBOC28VII-GB,,0.33,
NAGREEKEXP,Nagreeka Exports Limited,0.32,
STEELCITY,Steel City Securities Limited,0.32,
SADBHAV,Sadbhav Engineering Limited,0.3,
SURANASOL,Surana Solar Limited,0.3,
VINEETLAB,Vineet Laboratories Limited,0.3,
MADRASFERT,Madras Fertilizers Limited,0.29,
MAHEPC,Mahindra EPC Irrigation Limited,0.28,
PANSARI,Pansari Developers Limited,0.28,
TOTAL,Total Transport Systems Limited,0.28,
NDL,Nandan Denim Limited,0.27,
UNITEDPOLY,United Polyfab Gujarat Limited,0.27,
ZSARACOM,Saraswati Commercial India Limited,0.27,
LINC,Linc Limited,0.26,
SPCENET,Spacenet Enterprises India Limited,0.26,
UFO,UFO Moviez India Limited,0.26,
VIKASLIFE,Vikas Lifecare Limited,0.26,
VISHWARAJ,Vishwaraj Sugar Industries Limited,0.26,
KRITINUT,Kriti Nutrients Limited,0.25,
NIMBSPROJ,Nimbus Projects Limited,0.25,
VRAJ,Vraj Iron and Steel Limited,0.25,
NBIFIN,N. B. I. Industrial Finance Company Limited,0.24,
868NHB29-N3,,0.24,
OSWALAGRO,Oswal Agro Mills Limited,0.23,
SRGHFL,SRG Housing Finance Limited,0.23,
NAHARCAP,Nahar Capital and Financial Services Limited,0.22,
LANDSMILL,Landsmill Green Limited,0.21,
MOHITIND,Mohit Industries Limited,0.21,
VIKASECO,Vikas EcoTech Limited,0.21,
RNBDENIMS,R&B Denims Limited,0.2,
STARTECK,Starteck Finance Limited,0.2,
WEALTH,Wealth First Portfolio Managers Limited,0.2,
ELCIDIN,EL CID Investments Limited,0.19,
KRITI,Kriti Industries (India) Limited,0.19,
LATTEYS,Latteys Industries Limited,0.19,
NECLIFE,Nectar Lifesciences Limited,0.19,
PAVNAIND,Pavna Industries Limited,0.19,
SINCLAIR,Sinclairs Hotels Limited,0.19,
STEL,Stel Holdings Limited,0.19,
SUMIT,Sumit Woods Limited,0.19,
TEXMOPIPES,Texmo Pipes and Products Limited,0.19,
OMFURN-SM,,0.19,
SGBN28VIII-GB,,0.19,
MODTHREAD,Modern Threads (India) Limited,0.18,
NIRAJ,Niraj Cement Structurals Limited,0.18,
SOFTTECH,Softtech Engineers Limited,0.18,
VARDMNPOLY,Vardhman Polytex Limited,0.18,
ROSSELLIND,Rossell India Limited,0.17,
STARPAPER,Star Paper Mills Limited,0.17,
VASWANI,Vaswani Industries Limited,0.17,
KOTIC,Kothari Industrial Corporation Limited,0.16,
LAL,Lorenzini Apparels Limited,0.16,
LOTUSEYE,Lotus Eye Hospital and Institute Limited,0.16,
SPENCERS,Spencer's Retail Limited,0.16,
SUPREME,Supreme Holdings & Hospitality (India) Limited,0.16,
VSTL,Vibhor Steel Tubes Limited,0.16,
SRD,Shankar Lal Rampal Dye-Chem Limited,0.15,
TEAMGTY,Team India Guaranty Limited,0.15,
VAISHALI,Vaishali Pharma Limited,0.15,
NILAINFRA,Nila Infrastructures Limited,0.14,
PODDARMENT,Poddar Pigments Limited,0.14,
PTL,PTL Enterprises Limited,0.14,
SURANAT&P,Surana Telecom and Power Limited,0.14,
TTL,T T Limited,0.14,
VGL,VARVEE GLOBAL LIMITED,0.14,
MEGASTAR,Megastar Foods Limited,0.13,
METROGLOBL,Metroglobal Limited,0.13,
PRAXIS,Praxis Home Retail Limited,0.13,
SUNDARAM,Sundaram Multi Pap Limited,0.13,
KAMOPAINTS,Kamdhenu Ventures Limited,0.12,
MANAKSIA,Manaksia Limited,0.12,
MARALOVER,Maral Overseas Limited,0.12,
RACE,Race Eco Chain Limited,0.12,
RAJPALAYAM,Rajapalayam Mills Limited,0.12,
SILINV,SIL Investments Limited,0.12,
SINTERCOM,Sintercom India Limited,0.12,
SURYALA,Suryalata Spinning Mills Limited,0.12,
TIJARIA,Tijaria Polypipes Limited,0.12,
875NHAI29-N6,,0.12,
ESG,,0.12,
NIBL,NRB Industrial Bearings Limited,0.11,
PAR,Par Drugs And Chemicals Limited,0.11,
REGENCERAM,Regency Ceramics Limited,0.11,
SAHLIBHFI,Shalibhadra Finance Limited,0.11,
SOMATEX,Soma Textiles & Industries Limited,0.11,
HEXATRADEX,Hexa Tradex Limited,0.1,
MADHAVIPL,Madhav Infra Projects Limited,0.1,
MMWL,Media Matrix Worldwide Limited,0.1,
MONEYBOXX,Moneyboxx Finance Limited,0.1,
PKTEA,The Peria Karamalai Tea & Produce Company Limited,0.1,
RKEC,RKEC Projects Limited,0.1,
SUPERHOUSE,Superhouse Limited,0.1,
TARAPUR,Tarapur Transformers Limited,0.1,
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,0.1,
VIPCLOTHNG,VIP Clothing Limited,0.1,
AISL-SM,,0.1,
NDGL,Naga Dhunseri Group Limited,0.09,
PARASPETRO,Paras Petrofils Limited,0.09,
PRAENG,Prajay Engineers Syndicate Limited,0.09,
840IRFC29-N8,,0.09,
MALUPAPER,Malu Paper Mills Limited,0.08,
MOKSH,Moksh Ornaments Limited,0.08,
