symbol,company_name,sector,source,note
NIBE,NIBE Limited,Capital Goods,manual,
NIPPOBATRY,Indo-National Limited,Capital Goods,provider,Industrials
NIRAJISPAT,Niraj Ispat Industries Limited,Capital Goods,manual,
NITCO,Nitco Limited,Capital Goods,manual,
NOIDATOLL,Noida Toll Bridge Company Limited,Capital Goods,provider,Industrials
NRAIL,N R Agarwal Industries Limited,Capital Goods,manual,
OBCL,OBCL Limited,Capital Goods,provider,Industrials
ORIENTBELL,Orient Bell Limited,Capital Goods,manual,
ORIENTCER,ORIENT CERATECH LIMITED,Capital Goods,manual,
ORIENTPPR,Orient Paper & Industries Limited,Capital Goods,manual,
OSWALPUMPS,Oswal Pumps Limited,Capital Goods,nse_official,Capital Goods
PARAS,Paras Defence and Space Technologies Limited,Capital Goods,nse_official,Capital Goods
PAVNAIND,Pavna Industries Limited,Capital Goods,manual,
PENIND,Pennar Industries Limited,Capital Goods,manual,
PLATIND,Platinum Industries Limited,Capital Goods,manual,
PLAZACABLE,Plaza Wires Limited,Capital Goods,manual,
POLYCAB,Polycab India Limited,Capital Goods,nse_official,Capital Goods
POWERICA,Powerica Limited,Capital Goods,provider,Industrials
POWERINDIA,Hitachi Energy India Limited,Capital Goods,nse_official,Capital Goods
PPL,Prakash Pipes Limited,Capital Goods,provider,Building Products & Equipment
PRAJIND,Praj Industries Limited,Capital Goods,nse_official,Capital Goods
PRAKASH,Prakash Industries Limited,Capital Goods,manual,
PRECWIRE,Precision Wires India Limited,Capital Goods,manual,
PREMEXPLN,Premier Explosives Limited,Capital Goods,manual,
PREMIER,Premier Limited,Capital Goods,provider,Specialty Industrial Machinery
PREMIERENE,Premier Energies Limited,Capital Goods,nse_official,Capital Goods
PRINCEPIPE,Prince Pipes And Fittings Limited,Capital Goods,manual,
PRITIKAUTO,Pritika Auto Industries Limited,Capital Goods,provider,Specialty Industrial Machinery
PTCIL,PTC Industries Limited,Capital Goods,nse_official,Capital Goods
QPOWER,Quality Power Electrical Equipments Limited,Capital Goods,nse_official,Capital Goods
QUADFUTURE,Quadrant Future Tek Limited,Capital Goods,provider,Industrials
RAJOOENG,Rajoo Engineers Limited,Capital Goods,provider,Specialty Industrial Machinery
RAMCOIND,Ramco Industries Limited,Capital Goods,manual,
RAMRAT,Ram Ratna Wires Limited,Capital Goods,provider,Industrials
RATNAMANI,Ratnamani Metals & Tubes Limited,Capital Goods,nse_official,Capital Goods
RESPONIND,Responsive Industries Limited,Capital Goods,manual,
RHIM,RHI MAGNESITA INDIA LIMITED,Capital Goods,nse_official,Capital Goods
RIIL,Reliance Industrial Infrastructure Limited,Capital Goods,provider,Industrials
RISHABH,Rishabh Instruments Limited,Capital Goods,manual,
RMDRIP,R M Drip and Sprinklers Systems Limited,Capital Goods,provider,Farm & Heavy Construction Machinery
ROSSTECH,Rossell Techsys Limited,Capital Goods,manual,
ROTO,Roto Pumps Limited,Capital Goods,manual,
RPEL,Raghav Productivity Enhancers Limited,Capital Goods,manual,
RRKABEL,R R Kabel Limited,Capital Goods,nse_official,Capital Goods
RVTH,Revathi Equipment India Limited,Capital Goods,manual,
S&SPOWER,S&S Power Switchgears Limited,Capital Goods,provider,Industrials
SAATVIKGL,Saatvik Green Energy Limited,Capital Goods,nse_official,Capital Goods
SAHYADRI,Sahyadri Industries Limited,Capital Goods,manual,
SALZERELEC,Salzer Electronics Limited,Capital Goods,manual,
SBCL,Shivalik Bimetal Controls Limited,Capital Goods,provider,Industrials
SCHNEIDER,Schneider Electric Infrastructure Limited,Capital Goods,nse_official,Capital Goods
SEDEMAC,SEDEMAC Mechatronics Limited,Capital Goods,manual,
SEJALLTD,Sejal Glass Limited,Capital Goods,manual,
SGIL,Synergy Green Industries Limited,Capital Goods,manual,
SHAKTIPUMP,Shakti Pumps (India) Limited,Capital Goods,nse_official,Capital Goods
