symbol,sector,company_name,owner_label,turnover_cr
SWELECTES,IT,Swelect Energy Systems Limited,Information Technology,1.91
STEELXIND,Metal,STEEL EXCHANGE INDIA LIMITED,Metals & Mining,1.88
STANLEY,Consumer Services,Stanley Lifestyles Limited,Retail & Consumer,1.84
OMPOWER,Auto,Om Power Transmission Limited,Automobile & Auto Components,1.82
RESPONIND,Capital Goods,Responsive Industries Limited,Capital Goods & Industrial Manufacturing,1.8
RUSHIL,Forest Materials,Rushil Decor Limited,Packaging & Paper,1.79
PRECAM,Auto,Precision Camshafts Limited,Automobile & Auto Components,1.76
SPIC,Energy,Southern Petrochemicals Industries Corporation  Limited,"Oil, Gas & Energy",1.71
MUKKA,FMCG,Mukka Proteins Limited,FMCG & Food,1.69
PLATIND,Capital Goods,Platinum Industries Limited,Capital Goods & Industrial Manufacturing,1.69
ZUARIIND,Capital Goods,ZUARI INDUSTRIES LIMITED,Capital Goods & Industrial Manufacturing,1.68
SUNCLAY,Auto,Sundaram Clayton Limited,Automobile & Auto Components,1.67
KHAICHEM,Chemicals,Khaitan Chemicals & Fertilizers Limited,Chemicals,1.65
KRISHIVAL,FMCG,Krishival Foods Limited,FMCG & Food,1.64
PFS,Finance,PTC India Financial Services Limited,Banking & Financial Services,1.63
ELPROINTL,Realty,Elpro International Limited,Real Estate,1.58
SINDHUTRAD,Services,Sindhu Trade Links Limited,Business Services,1.52
NITTAGELA,Chemicals,Nitta Gelatin India Limited,Chemicals,1.49
TEXINFRA,Infra,Texmaco Infrastructure & Holdings Limited,Construction & Infrastructure,1.47
KUANTUM,Forest Materials,Kuantum Papers Limited,Packaging & Paper,1.44
KMSUGAR,FMCG,K.M.Sugar Mills Limited,FMCG & Food,1.4
OMINFRAL,Infra,OM INFRA LIMITED,Construction & Infrastructure,1.4
RAMKY,Infra,Ramky Infrastructure Limited,Construction & Infrastructure,1.4
SANGAMIND,Textiles,Sangam (India) Limited,Textiles,1.4
VENTIVE,Consumer Services,Ventive Hospitality Limited,"Hotels, Travel & Leisure",1.4
PARKHOTELS,Consumer Services,Apeejay Surrendra Park Hotels Limited,"Hotels, Travel & Leisure",1.38
SAHYADRI,Capital Goods,Sahyadri Industries Limited,Capital Goods & Industrial Manufacturing,1.37
VASCONEQ,Auto,Vascon Engineers Limited,Automobile & Auto Components,1.37
KAMAHOLD,Chemicals,Kama Holdings Limited,Chemicals,1.35
SUPREMEINF,Infra,Supreme Infrastructure India Limited,Construction & Infrastructure,1.28
PRIMESECU,Finance,Prime Securities Limited,Banking & Financial Services,1.27
SICAGEN,Services,Sicagen India Limited,Trading & Distribution,1.27
SILGO,Consumer Services,Silgo Retail Limited,Retail & Consumer,1.27
MCLEODRUSS,FMCG,Mcleod Russel India Limited,FMCG & Food,1.26
TCC,Realty,TCC Concept Limited,Real Estate,1.26
SNOWMAN,Services,Snowman Logistics Limited,Logistics & Transportation,1.25
NILE,Metal,Nile Limited,Metals & Mining,1.18
RBZJEWEL,Consumer Services,RBZ Jewellers Limited,Retail & Consumer,1.15
NRAIL,Capital Goods,N R Agarwal Industries Limited,Capital Goods & Industrial Manufacturing,1.11
TERASOFT,IT,Tera Software Limited,Information Technology,1.1
THEMISMED,Pharma,Themis Medicare Limited,Pharmaceuticals & Healthcare,1.09
KOHINOOR,FMCG,Kohinoor Foods Limited,FMCG & Food,1.07
SHALBY,Pharma,Shalby Limited,Pharmaceuticals & Healthcare,1.06
OAL,Chemicals,Oriental Aromatics Limited,Chemicals,1.05
TPLPLASTEH,Forest Materials,TPL Plastech Limited,Packaging & Paper,1.05
TIPSFILMS,Media,Tips Films Limited,Media & Entertainment,1.04
MEIL,Energy,Mangal Electrical Industries Limited,"Oil, Gas & Energy",1.03
PILANIINVS,Finance,Pilani Investment and Industries Corporation Limited,Banking & Financial Services,1.03
LIKHITHA,Infra,Likhitha Infrastructure Limited,Construction & Infrastructure,1.02
REPRO,Media,Repro India Limited,Media & Entertainment,1.02
TARACHAND,IT,Tara Chand InfraLogistic Solutions Limited,Information Technology,0.98
NILASPACES,Realty,Nila Spaces Limited,Real Estate,0.96
MANAKSTEEL,Metal,Manaksia Steels Limited,Metals & Mining,0.95
REMSONSIND,Auto,Remsons Industries Limited,Automobile & Auto Components,0.93
KSOLVES,IT,Ksolves India Limited,Information Technology,0.92
MAANALU,Metal,Maan Aluminium Limited,Metals & Mining,0.92
ORIENTBELL,Capital Goods,Orient Bell Limited,Capital Goods & Industrial Manufacturing,0.9
PASHUPATI,Textiles,Pashupati Cotspin Limited,Textiles,0.89
SANDESH,Media,The Sandesh Limited,Media & Entertainment,0.89
URJA,Energy,Urja Global Limited,"Oil, Gas & Energy",0.89
SCILAL,Services,Shipping Corporation of India Land and Assets Limited,Logistics & Transportation,0.88
TIGERLOGS,Services,Tiger Logistics (India) Limited,Logistics & Transportation,0.88
RANASUG,FMCG,Rana Sugars Limited,FMCG & Food,0.87
SUDARCOLOR,Chemicals,Sudarshan Colorants India Limited,Chemicals,0.87
UEL,Energy,Ujaas Energy Limited,"Oil, Gas & Energy",0.87
PIGL,Energy,Power & Instrumentation (Gujarat) Limited,"Oil, Gas & Energy",0.86
PRECOT,Textiles,Precot Limited,Textiles,0.85
ROHLTD,Consumer Services,Royal Orchid Hotels Limited,"Hotels, Travel & Leisure",0.84
VALIANTLAB,Pharma,Valiant Laboratories Limited,Pharmaceuticals & Healthcare,0.83
SAGCEM,Metal,Sagar Cements Limited,Metals & Mining,0.82
MANAKALUCO,Metal,Manaksia Aluminium Company Limited,Metals & Mining,0.81
MINDTECK,IT,Mindteck (India) Limited,Information Technology,0.8
RELIABLE,Services,Reliable Data Services Limited,Business Services,0.8
XCHANGING,IT,Xchanging Solutions Limited,Information Technology,0.8
KICL,Finance,Kalyani Investment Company Limited,Banking & Financial Services,0.79
NATIONSTD,Metal,National Standard (India) Limited,Metals & Mining,0.79
NCLIND,Metal,NCL Industries Limited,Metals & Mining,0.79
TREJHARA,IT,TREJHARA SOLUTIONS LIMITED,Information Technology,0.78
SGIL,Capital Goods,Synergy Green Industries Limited,Capital Goods & Industrial Manufacturing,0.77
PVSL,Auto,Popular Vehicles and Services Limited,Automobile & Auto Components,0.76
SONAMLTD,Consumer Durables,SONAM LIMITED,Consumer Durables & Appliances,0.76
DISAQ,Capital Goods,Disa India Limited,Capital Goods & Industrial Manufacturing,0.71
RUDRA,Infra,Rudra Global Infra Products Limited,Construction & Infrastructure,0.7
PRIMO,Chemicals,Primo Chemicals Limited,Chemicals,0.69
SUMMITSEC,Finance,Summit Securities Limited,Banking & Financial Services,0.67
SEJALLTD,Capital Goods,Sejal Glass Limited,Capital Goods & Industrial Manufacturing,0.65
NDTV,Media,New Delhi Television Limited,Media & Entertainment,0.63
MANORG,Chemicals,Mangalam Organics Limited,Chemicals,0.62
