trade_id,symbol,timeframe,direction,entry_price,sl_price,target_price,result,pnl_r,setup_type,session,notes,date,chart_image
T0067,NSE:NIFTY BANK,5minute,SHORT,59790.4,59995.0,59381.2,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-06,
T0068,NSE:CHOLAFIN,5minute,SHORT,1712.0,1727.1,1681.8,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-06,
T0069,NSE:GICHSGFIN,5minute,SHORT,163.32,164.24,161.48,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-06,
T0070,NSE:NIFTY 50,5minute,SHORT,25593.25,25653.4,25472.95,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-06,
T0071,NSE:NIFTY BANK,5minute,SHORT,59802.5,60026.45,59354.6,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-06,
T0072,NSE:NIFTY BANK,5minute,SHORT,59789.7,60057.8,59253.5,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-06,
T0073,NSE:CANFINHOME,5minute,LONG,943.9,935.2,961.3,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-06,
T0074,NSE:CANFINHOME,5minute,LONG,939.7,930.95,957.2,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-06,
T0075,NSE:CHOLAFIN,5minute,LONG,1720.7,1712.7,1736.7,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-06,
T0076,NSE:NIFTY 50,5minute,LONG,25835.43,25800.19,25905.91,WIN,0.9484,OB_BOS,INDIA_MID,SETUP-D,2026-02-09,
T0077,NSE:NIFTY 50,5minute,SHORT,25953.5,25969.75,25921.0,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-10,
T0078,NSE:NIFTY BANK,5minute,LONG,60742.9,60705.85,60817.0,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-10,
T0079,NSE:CHOLAFIN,5minute,LONG,1753.5,1745.1,1770.3,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D-V2,2026-02-10,
T0080,NSE:FINPIPE,5minute,SHORT,179.65,180.24,178.47,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-10,
T0081,NSE:NIFTY FIN SERVICE,5minute,SHORT,28160.2,28195.05,28090.5,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-10,
T0082,NSE:CHOLAFIN,5minute,LONG,1747.0,1730.5,1780.0,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-10,
T0083,NSE:GICHSGFIN,5minute,SHORT,165.0,165.3,164.4,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-10,
T0084,NSE:BAJFINANCE,5minute,LONG,968.7,964.55,977.0,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-10,
T0085,NSE:ASHOKLEY,5minute,SHORT,213.5,213.58,213.34,WIN,2.0,SETUP_B,KILLZONE_AM,B,2026-02-11,
T0086,NSE:NIFTY BANK,5minute,LONG,60758.02,60716.51,60841.04,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-02-12,
T0087,NSE:NIFTY 50,5minute,SHORT,25567.43,25583.99,25534.31,LOSS,-1.9988,OB_BOS,INDIA_MID,SETUP-D,2026-02-13,
T0088,NSE:NIFTY BANK,5minute,SHORT,60401.25,60507.25,60189.25,WIN,1.2882,OB_BOS,INDIA_MID,SETUP-D,2026-02-13,
T0089,NSE:NIFTY BANK,5minute,LONG,60399.07,60177.44,60842.33,WIN,2.0001,OB_BOS,INDIA_MID,SETUP-D,2026-02-16,
T0090,NSE:MAHLOG,5minute,SHORT,398.55,429.35,336.95,LOSS,-0.25,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-16,
T0091,NSE:ASHOKLEY,5minute,LONG,206.79,201.93,216.51,LOSS,-0.5,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-16,
T0092,NSE:GRAPHITE,5minute,LONG,638.65,622.35,671.25,WIN,1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-16,
T0093,NSE:EICHERMOT,5minute,LONG,8007.5,7976.5,8069.5,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-16,
T0094,NSE:IEX,5minute,SHORT,123.21,125.89,117.85,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-16,
T0095,NSE:GODFRYPHLP,5minute,LONG,2028.5,2015.5,2054.5,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-16,
T0096,NSE:CHAMBLFERT,5minute,LONG,450.45,445.75,459.85,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-16,
T0097,NSE:ARVIND,5minute,LONG,377.65,370.85,391.25,LOSS,-0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-16,
T0098,NSE:ADANIENT,5minute,LONG,2135.7,2089.4,2228.3,WIN,1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-16,
T0099,NSE:COROMANDEL,5minute,LONG,2270.5,2244.3,2322.9,WIN,0.5,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-16,
T0100,NSE:IPCALAB,5minute,SHORT,1478.2,1549.0,1336.6,LOSS,-0.25,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-16,
T0101,NSE:SHAREINDIA,5minute,SHORT,143.28,143.89,142.06,LOSS,-1.0,SETUP_B,LONDON_OVERLAP,B,2026-02-16,
T0102,NSE:CGPOWER,5minute,LONG,692.0,680.8,714.4,LOSS,-0.5,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-17,
T0103,NSE:INFY,5minute,SHORT,1403.7,1443.5,1324.1,LOSS,-0.5,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-17,
T0104,NSE:ABB,5minute,LONG,5857.0,5767.0,6037.0,LOSS,-0.25,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-17,
T0105,NSE:DRREDDY,5minute,LONG,1269.4,1257.1,1294.0,WIN,1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-02-17,
T0106,NSE:EXIDEIND,5minute,SHORT,340.85,347.25,328.05,LOSS,-0.25,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-02-17,
